gray_value,count
0,998
1,2088
2,0
3,0
4,5216
5,0
6,0
7,0
8,8800
9,0
10,0
11,0
12,0
13,0
14,13556
15,0
16,0
17,0
18,0
19,0
20,14305
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,16741
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,19012
37,0
38,0
39,0
40,0
41,0
42,0
43,15125
44,0
45,0
46,0
47,0
48,0
49,0
50,15646
51,0
52,0
53,0
54,0
55,0
56,13400
57,0
58,0
59,0
60,0
61,0
62,12411
63,0
64,0
65,0
66,0
67,0
68,12792
69,0
70,0
71,0
72,0
73,11786
74,0
75,0
76,0
77,0
78,12336
79,0
80,0
81,0
82,0
83,0
84,12679
85,0
86,0
87,0
88,0
89,0
90,12369
91,0
92,0
93,0
94,0
95,0
96,13439
97,0
98,0
99,0
100,0
101,0
102,13109
103,0
104,0
105,0
106,0
107,12529
108,0
109,0
110,0
111,0
112,0
113,13072
114,0
115,0
116,0
117,0
118,0
119,12588
120,0
121,0
122,0
123,0
124,12811
125,0
126,0
127,0
128,0
129,11138
130,0
131,0
132,0
133,0
134,10316
135,0
136,0
137,0
138,0
139,9808
140,0
141,0
142,0
143,8916
144,0
145,0
146,8730
147,0
148,0
149,0
150,8166
151,0
152,0
153,0
154,7891
155,0
156,0
157,7317
158,0
159,0
160,7238
161,0
162,0
163,6949
164,0
165,0
166,6444
167,0
168,0
169,6097
170,0
171,0
172,5773
173,0
174,5569
175,0
176,0
177,5304
178,0
179,5422
180,0
181,5417
182,0
183,0
184,5262
185,0
186,5042
187,0
188,4910
189,0
190,4724
191,0
192,4391
193,0
194,4323
195,0
196,4301
197,0
198,4056
199,0
200,3815
201,3860
202,0
203,3761
204,0
205,3479
206,3397
207,0
208,3376
209,3386
210,0
211,3431
212,3465
213,0
214,3342
215,3309
216,0
217,3118
218,2998
219,2783
220,0
221,2462
222,4274
223,1842
224,1728
225,2901
226,2296
227,2053
228,2435
229,2105
230,2337
231,2027
232,2287
233,2523
234,2029
235,2394
236,2332
237,2005
238,2056
239,2574
240,2069
241,2015
242,2343
243,2191
244,2329
245,2136
246,2418
247,2108
248,2224
249,2427
250,2203
251,2051
252,2381
253,2205
254,2117
255,1291
